epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1751.79,0.62114,0.43774,1.00252,0.88057,0.761,0.80852,0.60771,0.88009,0.58217,1.0253,0.000602537,0.000602537,0.000602537
131,1765.41,0.58086,0.39351,0.96369,0.87956,0.7618,0.80426,0.61389,0.85001,0.60681,0.99713,0.000594286,0.000594286,0.000594286
132,1779.45,0.59974,0.40659,0.96475,0.87147,0.73921,0.8053,0.61188,0.85638,0.60496,0.99694,0.000586034,0.000586034,0.000586034
133,1792.85,0.60054,0.42706,0.96522,0.85641,0.77164,0.80019,0.61153,0.86856,0.60402,1.00314,0.000577782,0.000577782,0.000577782
134,1806.3,0.58898,0.40586,0.95574,0.84131,0.79104,0.816,0.61516,0.86452,0.57901,1.01005,0.000569531,0.000569531,0.000569531
135,1819.66,0.58953,0.40827,0.95905,0.88655,0.76736,0.81045,0.60939,0.85896,0.58055,1.00544,0.000561279,0.000561279,0.000561279
136,1833.04,0.59533,0.40265,0.96277,0.8793,0.76211,0.8081,0.6092,0.85596,0.60307,0.99688,0.000553027,0.000553027,0.000553027
137,1846.43,0.58776,0.40471,0.96919,0.87187,0.77541,0.81158,0.6144,0.85239,0.58417,0.99795,0.000544776,0.000544776,0.000544776
138,1859.85,0.58433,0.40453,0.96017,0.8841,0.78358,0.81646,0.60943,0.85101,0.57003,0.99561,0.000536524,0.000536524,0.000536524
139,1873.22,0.57309,0.39112,0.96971,0.87425,0.77463,0.80794,0.61326,0.85621,0.57492,0.98856,0.000528272,0.000528272,0.000528272
140,1886.51,0.64028,0.41678,1.01993,0.90326,0.7806,0.82002,0.61078,0.87836,0.5846,1.0078,0.000520021,0.000520021,0.000520021
141,1899.99,0.70122,0.51273,1.07037,0.89374,0.77463,0.81823,0.6162,0.87847,0.60189,1.01159,0.000511769,0.000511769,0.000511769
142,1913.37,0.60585,0.39863,0.97842,0.91836,0.75418,0.8028,0.60905,0.87294,0.59324,1.01428,0.000503517,0.000503517,0.000503517
143,1926.78,0.60928,0.40748,0.9996,0.87562,0.77035,0.80718,0.60985,0.85987,0.58665,0.99406,0.000495266,0.000495266,0.000495266
144,1940.13,0.57802,0.39513,0.95094,0.88746,0.7791,0.81247,0.61476,0.84968,0.57278,0.99797,0.000487014,0.000487014,0.000487014
145,1953.38,0.57277,0.38608,0.95521,0.87872,0.76418,0.80185,0.61233,0.85266,0.57958,1.00281,0.000478762,0.000478762,0.000478762
146,1966.66,0.59054,0.3949,0.95916,0.84354,0.78528,0.80012,0.61213,0.85082,0.57155,0.99435,0.000470511,0.000470511,0.000470511
147,1979.97,0.57922,0.39491,0.9575,0.90462,0.7597,0.80714,0.62006,0.84675,0.5843,0.99543,0.000462259,0.000462259,0.000462259
148,1993.31,0.56806,0.36961,0.94363,0.8783,0.78528,0.8219,0.62271,0.85019,0.57502,0.99423,0.000454007,0.000454007,0.000454007
149,2006.69,0.56848,0.40056,0.95098,0.88388,0.78398,0.81682,0.61903,0.84915,0.57313,0.99038,0.000445756,0.000445756,0.000445756
150,2020.02,0.56204,0.37992,0.96289,0.861,0.77931,0.81211,0.61912,0.8496,0.57718,0.99102,0.000437504,0.000437504,0.000437504
151,2033.36,0.56657,0.39651,0.95246,0.8848,0.75665,0.80445,0.61495,0.85503,0.58565,1.00185,0.000429253,0.000429253,0.000429253
152,2046.67,0.54857,0.37739,0.94215,0.88775,0.77593,0.81442,0.6184,0.84204,0.55975,0.99603,0.000421001,0.000421001,0.000421001
153,2060.04,0.5602,0.36679,0.95129,0.87727,0.76309,0.8068,0.61421,0.84769,0.58909,0.99919,0.000412749,0.000412749,0.000412749
154,2073.49,0.55559,0.37612,0.94629,0.87799,0.7791,0.81393,0.62392,0.82901,0.58237,0.98219,0.000404498,0.000404498,0.000404498
155,2086.88,0.56537,0.37811,0.95541,0.9025,0.76866,0.81677,0.62475,0.83256,0.57103,0.9889,0.000396246,0.000396246,0.000396246
156,2100.27,0.55806,0.37743,0.94594,0.90022,0.77835,0.8184,0.62424,0.82993,0.55352,0.99052,0.000387994,0.000387994,0.000387994
157,2113.62,0.61384,0.43227,0.99966,0.9059,0.76438,0.81777,0.62303,0.83208,0.57865,0.99209,0.000379743,0.000379743,0.000379743
158,2126.92,0.54551,0.37292,0.945,0.9013,0.76843,0.81537,0.62195,0.84089,0.57032,0.99247,0.000371491,0.000371491,0.000371491
159,2140.18,0.55734,0.37975,0.95222,0.90679,0.77164,0.8148,0.6234,0.82682,0.56036,0.98467,0.000363239,0.000363239,0.000363239
